Fecha,Volumen
2021-01-01 00:00:00,2231
2021-01-02 00:00:00,1808
2021-01-03 00:00:00,1804
2021-01-04 00:00:00,2368
2021-01-05 00:00:00,1660
2021-01-06 00:00:00,1864
2021-01-07 00:00:00,1846
2021-01-08 00:00:00,1708
2021-01-09 00:00:00,2913
2021-01-10 00:00:00,1610
2021-01-11 00:00:00,1752
2021-01-12 00:00:00,1994
2021-01-13 00:00:00,1771
2021-01-14 00:00:00,1907
2021-01-15 00:00:00,1497
2021-01-16 00:00:00,1488
2021-01-17 00:00:00,1959
2021-01-18 00:00:00,1403
2021-01-19 00:00:00,2105
2021-01-20 00:00:00,1633
2021-01-21 00:00:00,3168
2021-01-22 00:00:00,4556
2021-01-23 00:00:00,2634
2021-01-24 00:00:00,3793
2021-01-25 00:00:00,3426
2021-01-26 00:00:00,3222
2021-01-27 00:00:00,3617
2021-01-28 00:00:00,2309
2021-01-29 00:00:00,2845
2021-01-30 00:00:00,2960
2021-01-31 00:00:00,2683
2021-02-01 00:00:00,2817
2021-02-02 00:00:00,3062
2021-02-03 00:00:00,2461
2021-02-04 00:00:00,3813
2021-02-05 00:00:00,2881
2021-02-06 00:00:00,3871
2021-02-07 00:00:00,3608
2021-02-08 00:00:00,290
2021-02-09 00:00:00,6810
2021-02-10 00:00:00,2959
2021-02-11 00:00:00,3139
2021-02-12 00:00:00,3046
2021-02-13 00:00:00,3427
2021-02-14 00:00:00,3494
2021-02-15 00:00:00,3172
2021-02-16 00:00:00,3278
2021-02-17 00:00:00,3224
2021-02-18 00:00:00,3150
2021-02-19 00:00:00,3802
2021-02-20 00:00:00,2579
2021-02-21 00:00:00,3250
2021-02-22 00:00:00,2844
2021-02-23 00:00:00,3031
2021-02-24 00:00:00,2853
2021-02-25 00:00:00,2905
2021-02-26 00:00:00,2866
2021-02-27 00:00:00,2980
2021-02-28 00:00:00,2719
2021-03-01 00:00:00,2622
2021-03-02 00:00:00,3359
2021-03-03 00:00:00,2414
2021-03-04 00:00:00,2736
2021-03-05 00:00:00,3082
2021-03-06 00:00:00,3129
2021-03-07 00:00:00,3275
2021-03-08 00:00:00,2891
2021-03-09 00:00:00,3060
2021-03-10 00:00:00,3145
2021-03-11 00:00:00,3187
2021-03-12 00:00:00,3446
2021-03-13 00:00:00,2978
2021-03-14 00:00:00,2030
2021-03-15 00:00:00,2220
2021-03-16 00:00:00,2515
2021-03-17 00:00:00,2242
2021-03-18 00:00:00,2341
2021-03-19 00:00:00,2301
2021-03-20 00:00:00,2129
2021-03-21 00:00:00,2012
2021-03-22 00:00:00,2518
2021-03-23 00:00:00,1859
2021-03-24 00:00:00,2055
2021-03-25 00:00:00,2025
2021-03-26 00:00:00,2639
2021-03-27 00:00:00,1571
2021-03-28 00:00:00,1919
2021-03-29 00:00:00,1770
2021-03-30 00:00:00,2202
2021-03-31 00:00:00,1786
