Fecha,Volumen
2021-04-01 00:00:00,1437
2021-04-02 00:00:00,913
2021-04-03 00:00:00,892
2021-04-04 00:00:00,842
2021-04-05 00:00:00,1227
2021-04-06 00:00:00,749
2021-04-07 00:00:00,790
2021-04-08 00:00:00,539
2021-04-09 00:00:00,656
2021-04-10 00:00:00,495
2021-04-11 00:00:00,807
2021-04-12 00:00:00,370
2021-04-13 00:00:00,687
2021-04-14 00:00:00,801
2021-04-15 00:00:00,922
2021-04-16 00:00:00,1042
2021-04-17 00:00:00,889
2021-04-18 00:00:00,939
2021-04-19 00:00:00,664
2021-04-20 00:00:00,1025
2021-04-21 00:00:00,937
2021-04-22 00:00:00,776
2021-04-23 00:00:00,987
2021-04-24 00:00:00,812
2021-04-25 00:00:00,871
2021-04-26 00:00:00,845
2021-04-27 00:00:00,893
2021-04-28 00:00:00,942
2021-04-29 00:00:00,862
2021-04-30 00:00:00,825
