,Contrato,Dirección,tipo,calle,NUMERO,PISO,Nº Serie Contador Esf.1,xcoord,ycoord,localId,USO 2020,2020-1,2020-2,2020-3,2020-4,USO 2018,2018-1,2018-2,2018-3,USO 2019,2019-1,2019-2,2019-3
0,6145540,"PORTUGAL, TRAV. 4",GARAJES,PORTUGAL,4.0,S/N,9,-6.416601294599429,39.56155906011089,10.050.101.4.2125724QD2822N,1.0,0.0,1.0,0.0,,0.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0
1,6145542,ANGEL RODRIGUEZ CAMPOS 2,DOMESTICO,ANGEL RODRIGUEZ CAMPOS,2.0,S/N,99271675,-6.416026874956156,39.556213074781006,10.050.3.2.2119011QD2821N,61.0,8.0,22.0,21.0,,40.0,43.0,47.0,57.0,60.0,58.0,47.0,45.0
2,6145543,ANGEL RODRIGUEZ CAMPOS 4,DOMESTICO,ANGEL RODRIGUEZ CAMPOS,4.0,S/N,2825489,-6.416126012013815,39.55619474034305,10.050.3.4.2119012QD2821N,11.0,14.0,15.0,14.0,,12.0,11.0,14.0,11.0,11.0,12.0,19.0,10.0
3,6145547,ANGEL RODRIGUEZ CAMPOS 12,DOMESTICO,ANGEL RODRIGUEZ CAMPOS,12.0,S/N,N815058,-6.416670790689315,39.556093978927954,10.050.3.12.2119016QD2821N,17.0,18.0,23.0,19.0,,16.0,17.0,21.0,20.0,17.0,22.0,23.0,19.0
4,6145548,ANGEL RODRIGUEZ CAMPOS 14,DOMESTICO,ANGEL RODRIGUEZ CAMPOS,14.0,S/N,1640576,-6.41684220827117,39.556062837509444,10.050.3.14.2119017QD2821N,1.0,3.0,16.0,4.0,,1.0,3.0,13.0,4.0,1.0,6.0,14.0,4.0
5,6145561,BARRIONUEVO ALTO 1,DOMESTICO,BARRIONUEVO ALTO,1.0,S/N,J986410,-6.4160686791490615,39.56154423439609,10.050.70.1.2125401QD2822N,66.0,97.0,89.0,75.0,,61.0,72.0,80.0,74.0,66.0,78.0,87.0,76.0
6,6145563,BARRIONUEVO ALTO 7,DOMESTICO,BARRIONUEVO ALTO,7.0,S/N,17-209308,-6.416040365403571,39.56141658125214,10.050.70.7.2125404QD2822N,24.0,60.0,42.0,44.0,,22.0,24.0,25.0,25.0,24.0,35.0,39.0,37.0
7,6145564,BARRIONUEVO ALTO 9,DOMESTICO,BARRIONUEVO ALTO,9.0,S/N,21250587,-6.416033278611223,39.561369222295696,10.050.70.9.2125405QD2822N,14.0,24.0,29.0,19.0,,16.0,18.0,22.0,18.0,14.0,16.0,29.0,15.0
8,6145565,BARRIONUEVO ALTO 13,DOMESTICO,BARRIONUEVO ALTO,13.0,S/N,K590677,-6.416018000696924,39.56126663319956,10.050.70.13.2125407QD2822N,0.0,27.0,6.0,23.0,,0.0,26.0,0.0,23.0,0.0,26.0,6.0,23.0
9,6145566,BARRIONUEVO ALTO 19,DOMESTICO,BARRIONUEVO ALTO,19.0,S/N,J313470,-6.415997623524126,39.56108510418018,10.050.70.19.2125410QD2822N,20.0,26.0,22.0,22.0,,17.0,17.0,19.0,16.0,20.0,19.0,25.0,20.0
10,6145567,BARRIONUEVO ALTO 21,DOMESTICO,BARRIONUEVO ALTO,21.0,S/N,67506,-6.415987027465267,39.561025685520214,10.050.70.21.2125411QD2822N,33.0,0.0,0.0,0.0,,10.0,11.0,24.0,23.0,33.0,18.0,7.0,3.0
11,6145568,BARRIONUEVO ALTO 23,DOMESTICO,BARRIONUEVO ALTO,23.0,S/N,L942507,-6.415979136194916,39.56098118695258,10.050.70.23.2125412QD2822N,5.0,1.0,1.0,5.0,,5.0,0.0,1.0,5.0,5.0,1.0,1.0,5.0
12,6145569,BARRIONUEVO ALTO 27,DOMESTICO,BARRIONUEVO ALTO,27.0,S/N,2486991,-6.415962752873181,39.560889563914145,10.050.70.27.2125414QD2822N,9.0,20.0,13.0,9.0,,0.0,10.0,14.0,8.0,9.0,9.0,10.0,8.0
13,6145571,BARRIONUEVO ALTO 31,DOMESTICO,BARRIONUEVO ALTO,31.0,S/N,91529529,-6.415949485862309,39.560814316025755,10.050.70.31.2125416QD2822N,0.0,0.0,2.0,12.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,6145572,BARRIONUEVO ALTO 33,DOMESTICO,BARRIONUEVO ALTO,33.0,S/N,1609327,-6.415941196324393,39.560768006845834,10.050.70.33.2125417QD2822N,15.0,16.0,20.0,19.0,,15.0,17.0,20.0,18.0,15.0,16.0,20.0,16.0
15,6145574,BARRIONUEVO ALTO 41 A,DOMESTICO,BARRIONUEVO ALTO,41.0,A,2825650,-6.415904519834809,39.56053648150669,10.050.70.41.2223826QD2822S,24.0,40.0,27.0,26.0,,28.0,28.0,27.0,28.0,24.0,27.0,29.0,26.0
16,6145575,BARRIONUEVO ALTO 41,DOMESTICO,BARRIONUEVO ALTO,41.0,S/N,11108942,-6.415904519834809,39.56053648150669,10.050.70.41.2223826QD2822S,3.0,4.0,7.0,6.0,,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0
17,6145576,BARRIONUEVO ALTO 43,DOMESTICO,BARRIONUEVO ALTO,43.0,S/N,1717947,-6.415892713153728,39.560468923529626,10.050.70.43.2223825QD2822S,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,6145579,BARRIONUEVO ALTO 53 1º,DOMESTICO,BARRIONUEVO ALTO,53.0,1º,2502284,-6.415837794650916,39.56019897540775,10.050.70.53.2223821QD2822S,3.0,11.0,27.0,3.0,,30.0,48.0,34.0,20.0,3.0,4.0,7.0,2.0
19,6145580,BARRIONUEVO ALTO 55,DOMESTICO,BARRIONUEVO ALTO,55.0,S/N,1679237,-6.415828421866303,39.56015363307697,10.050.70.55.2223820QD2822S,8.0,2.0,8.0,6.0,,7.0,10.0,9.0,9.0,8.0,7.0,10.0,7.0
20,6145581,BARRIONUEVO ALTO 57,DOMESTICO,BARRIONUEVO ALTO,57.0,S/N,140031,-6.415820214620569,39.560111379650024,10.050.70.57.2223819QD2822S,14.0,15.0,17.0,13.0,,11.0,14.0,18.0,15.0,14.0,15.0,19.0,14.0
21,6145582,BARRIONUEVO ALTO 59,DOMESTICO,BARRIONUEVO ALTO,59.0,S/N,59542,-6.415810444260335,39.560061073664265,10.050.70.59.2223818QD2822S,5.0,200.0,28.0,5.0,,6.0,10.0,20.0,5.0,5.0,15.0,16.0,43.0
22,6145583,BARRIONUEVO ALTO 61,DOMESTICO,BARRIONUEVO ALTO,61.0,S/N,1711839,-6.415798172403835,39.559993509829226,10.050.70.61.2223817QD2822S,11.0,17.0,23.0,11.0,,11.0,12.0,11.0,10.0,11.0,13.0,12.0,12.0
23,6145584,BARRIONUEVO ALTO 63,DOMESTICO,BARRIONUEVO ALTO,63.0,S/N,1717991,-6.415792958615932,39.5599521337907,10.050.70.63.2223816QD2822S,4.0,2.0,6.0,5.0,,11.0,9.0,6.0,5.0,4.0,5.0,6.0,5.0
24,6145586,BARRIONUEVO ALTO 69,DOMESTICO,BARRIONUEVO ALTO,69.0,S/N,990617088,-6.415774173823159,39.559799828459894,10.050.70.69.2223813QD2822S,6.0,17.0,11.0,10.0,,9.0,12.0,18.0,9.0,6.0,9.0,25.0,8.0
25,6145587,BARRIONUEVO ALTO 71,DOMESTICO,BARRIONUEVO ALTO,71.0,S/N,1679350,-6.4157643009978145,39.55971780942128,10.050.70.71.2223812QD2822S,1.0,1.0,4.0,1.0,,1.0,1.0,68.0,2.0,1.0,1.0,1.0,0.0
26,6145588,BARRIONUEVO ALTO 73,DOMESTICO,BARRIONUEVO ALTO,73.0,S/N,139838,-6.415756003796602,39.5596466404327,10.050.70.73.2223811QD2822S,31.0,24.0,25.0,22.0,,40.0,44.0,43.0,30.0,31.0,35.0,34.0,25.0
27,6145589,BARRIONUEVO ALTO 75,DOMESTICO,BARRIONUEVO ALTO,75.0,S/N,61149936,-6.415747081366757,39.55956410201341,10.050.70.75.2223810QD2822S,20.0,33.0,35.0,28.0,,24.0,24.0,27.0,23.0,20.0,24.0,26.0,27.0
28,6145590,BARRIONUEVO ALTO 2,DOMESTICO,BARRIONUEVO ALTO,2.0,S/N,90062297,-6.416151526266987,39.561560311344564,10.050.70.2.2125726QD2822N,21.0,39.0,35.0,24.0,,23.0,27.0,30.0,24.0,21.0,26.0,34.0,33.0
29,6145592,BARRIONUEVO ALTO 12,DOMESTICO,BARRIONUEVO ALTO,12.0,S/N,1772028,-6.416087491678242,39.56109701318113,10.050.70.12.2125729QD2822N,20.0,24.0,26.0,29.0,,105.0,103.0,132.0,119.0,126.0,129.0,134.0,117.0
30,6145593,BARRIONUEVO ALTO 14 A,DOMESTICO,BARRIONUEVO ALTO,14.0,A,90111150,-6.4160797106396465,39.56104954418836,10.050.70.14.2125730QD2822N,31.0,34.0,30.0,30.0,,28.0,30.0,35.0,32.0,31.0,32.0,36.0,30.0
31,6145594,BARRIONUEVO ALTO 14,DOMESTICO,BARRIONUEVO ALTO,14.0,S/N,1679220,-6.4160797106396465,39.56104954418836,10.050.70.14.2125730QD2822N,26.0,44.0,37.0,36.0,,41.0,49.0,49.0,39.0,26.0,48.0,47.0,39.0
32,6145595,BARRIONUEVO ALTO 14,DOMESTICO,BARRIONUEVO ALTO,14.0,S/N,17-046717,-6.4160797106396465,39.56104954418836,10.050.70.14.2125730QD2822N,1.0,0.0,0.0,17.0,,41.0,49.0,49.0,39.0,26.0,48.0,47.0,39.0
33,6145596,BARRIONUEVO ALTO 16 A,DOMESTICO,BARRIONUEVO ALTO,16.0,A,1893731,-6.416060299826915,39.56097801536782,10.050.70.16.2125731QD2822N,12.0,14.0,12.0,13.0,,24.0,27.0,35.0,26.0,23.0,25.0,26.0,21.0
34,6145597,BARRIONUEVO ALTO 16,DOMESTICO,BARRIONUEVO ALTO,16.0,S/N,167502,-6.416060299826915,39.56097801536782,10.050.70.16.2125731QD2822N,0.0,0.0,1.0,0.0,,0.0,1.0,10.0,1.0,0.0,1.0,1.0,1.0
35,6145598,BARRIONUEVO ALTO 24,DOMESTICO,BARRIONUEVO ALTO,24.0,S/N,31595437,-6.416006978189699,39.56073289491307,10.050.70.24.2125735QD2822N,14.0,0.0,1.0,5.0,,6.0,6.0,7.0,6.0,14.0,7.0,6.0,6.0
36,6145599,BARRIONUEVO ALTO 26,DOMESTICO,BARRIONUEVO ALTO,26.0,S/N,K142002,-6.415985585214852,39.5606069317111,10.050.70.26.2123502QD2822S,15.0,25.0,17.0,23.0,,18.0,19.0,20.0,18.0,15.0,18.0,18.0,20.0
37,6145600,BARRIONUEVO ALTO 28,DOMESTICO,BARRIONUEVO ALTO,28.0,S/N,K128128,-6.415972541468207,39.56052880599316,10.050.70.28.2123503QD2822S,0.0,2.0,0.0,0.0,,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
38,6145601,BARRIONUEVO ALTO 28 A,DOMESTICO,BARRIONUEVO ALTO,28.0,A,816561,-6.415972541468207,39.56052880599316,10.050.70.28.2123503QD2822S,16.0,22.0,18.0,15.0,,16.0,16.0,14.0,16.0,16.0,15.0,17.0,15.0
39,6145602,BARRIONUEVO ALTO 30,DOMESTICO,BARRIONUEVO ALTO,30.0,S/N,L169885,-6.415963109254356,39.560466255657985,10.050.70.30.2123504QD2822S,29.0,0.0,0.0,0.0,,14.0,18.0,22.0,18.0,29.0,21.0,65.0,2.0
40,6145603,BARRIONUEVO ALTO 32 A,DOMESTICO,BARRIONUEVO ALTO,32.0,A,364760,-6.415957417519148,39.560422076285015,10.050.70.32.2123505QD2822S,15.0,32.0,26.0,19.0,,15.0,14.0,12.0,14.0,15.0,14.0,11.0,12.0
41,6145604,BARRIONUEVO ALTO 32,DOMESTICO,BARRIONUEVO ALTO,32.0,S/N,B043593,-6.415957417519148,39.560422076285015,10.050.70.32.2123505QD2822S,1.0,32.0,0.0,0.0,,29.0,31.0,32.0,30.0,0.0,32.0,32.0,30.0
42,6145605,BARRIONUEVO ALTO 36,DOMESTICO,BARRIONUEVO ALTO,36.0,S/N,81116002,-6.415946670768984,39.56033851084066,10.050.70.36.2123506QD2822S,44.0,55.0,44.0,31.0,,41.0,48.0,47.0,41.0,44.0,48.0,54.0,47.0
43,6145607,BARRIONUEVO ALTO 42,DOMESTICO,BARRIONUEVO ALTO,42.0,S/N,IB1548986,-6.415926276132643,39.56013238754011,10.050.70.42.2123508QD2822S,21.0,37.0,27.0,24.0,,25.0,27.0,27.0,20.0,21.0,28.0,29.0,23.0
44,6145608,BARRIONUEVO ALTO 44,DOMESTICO,BARRIONUEVO ALTO,44.0,S/N,120918,-6.415922516658284,39.560080053200544,10.050.70.44.2123509QD2822S,1.0,0.0,36.0,0.0,,1.0,5.0,29.0,0.0,1.0,4.0,26.0,0.0
45,6145609,BARRIONUEVO ALTO 46,DOMESTICO,BARRIONUEVO ALTO,46.0,S/N,17-077071,-6.415918124197301,39.560019691502475,10.050.70.46.2123510QD2822S,26.0,18.0,26.0,20.0,,20.0,22.0,21.0,26.0,26.0,20.0,21.0,16.0
